scene,kind,frames
031025-Skull2,transforms,160
031025-Pumpkin2,transforms,87
021125-ParkingMeter,transforms,75
031025-Pumpkin,transforms,70
031025-Skull,transforms,45
031025-HalloweenHouse,transforms,24
031025-Stage,transforms,11
031025-Skull2,transforms_clutter,135
031025-Pumpkin2,transforms_clutter,65
031025-Pumpkin,transforms_clutter,51
021125-ParkingMeter,transforms_clutter,26
031025-Skull,transforms_clutter,24
031025-HalloweenHouse,transforms_clutter,15
031025-Stage,transforms_clutter,10
021125-ParkingMeter,transforms_extra,49
031025-Skull2,transforms_extra,25
031025-Pumpkin2,transforms_extra,22
031025-Skull,transforms_extra,21
031025-Pumpkin,transforms_extra,19
031025-HalloweenHouse,transforms_extra,9
031025-Stage,transforms_extra,1
